,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
221,0.8290000000000001,Pass,8.814455843,mIVSCC-MET,0.87579883,True
222,0.632,Pass,10.06254719,mIVSCC-MET,0.782926785,True
223,0.698,Pass,23.24972441,mIVSCC-MET,0.862899183,True
224,0.6078485029999999,Pass,19.08,T301x,0.677669348,True
225,0.413,Fail,8.417286922,mIVSCC-MET,0.635759023,True
226,0.711,Pass,22.50628478,mIVSCC-MET,1.067222907,True
227,0.7290000000000001,Pass,10.46302094,mIVSCC-MET,0.9052165640000001,True
228,0.657,Pass,13.96011902,mIVSCC-MET,0.7454777340000001,True
229,0.642,Pass,11.84700639,mIVSCC-MET,0.823511456,True
230,0.498137373,Pass,21.21,T301x,0.684508369,True
231,0.688,Pass,12.26928937,mIVSCC-MET,0.753710632,True
232,0.6659999999999999,Pass,9.131933278,mIVSCC-MET,0.8017369040000001,True
233,0.6809999999999999,Pass,8.856487604,mIVSCC-MET,0.8757427990000001,True
234,0.772194237,Pass,29.85,T301x,0.731575977,True
235,0.276,Pass,26.34468443,mIVSCC-MET,0.8036327040000001,True
236,0.738,Pass,15.31797161,mIVSCC-MET,0.7571630229999999,True
237,0.537,Pass,13.81150624,mIVSCC-MET,0.890384631,True
238,0.66,Pass,16.50016999,mIVSCC-MET,0.713859458,True
239,0.759,Pass,9.045464975,mIVSCC-MET,0.633960613,True
240,0.616,Pass,13.63491805,mIVSCC-MET,0.936613096,True
241,0.562,Pass,22.108172399999997,mIVSCC-MET,0.9801135790000001,True
242,0.716,Pass,21.98194157,mIVSCC-MET,0.793427765,True
243,0.68,Pass,7.057306894,mIVSCC-MET,0.661851015,True
244,0.724699669,Pass,13.98,T301x,0.712168694,True
245,0.506,Pass,9.728040385,mIVSCC-MET,0.7420237279999999,True
246,0.561,Pass,14.10799592,mIVSCC-MET,0.8777774070000001,True
247,0.631,Pass,7.352897822,mIVSCC-MET,0.829239792,True
248,0.45899999999999996,Pass,11.24853024,mIVSCC-MET,0.706168868,True
249,0.6679999999999999,Pass,9.036446592,mIVSCC-MET,0.9423897840000001,True
250,0.462,Pass,18.69698843,mIVSCC-MET,0.8421958429999999,True
251,0.299,Fail,18.02927543,mIVSCC-MET,0.650082718,True
252,0.614,Pass,16.6838205,mIVSCC-MET,0.950086478,True
253,0.633,Pass,10.90723284,mIVSCC-MET,0.779557255,True
254,0.733,Pass,14.95550461,mIVSCC-MET,0.934474164,True
255,0.8029730409999999,Pass,10.845,T301x,0.688921626,True
256,0.551,Pass,13.71396435,mIVSCC-MET,0.910911295,True
257,0.642,Pass,9.863995347000001,mIVSCC-MET,0.743461797,True
258,0.633,Pass,18.14583729,mIVSCC-MET,0.8426738220000001,True
259,0.579,Pass,10.68852342,mIVSCC-MET,0.8213403659999999,True
260,0.431,Fail,9.590686901,mIVSCC-MET,0.7313611059999999,True
