,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
6496,0.275,Fail,8.654788334,mIVSCC-MET,0.521475102,True
6499,0.402,Fail,16.01261228,mIVSCC-MET,0.7987462890000001,True
6537,0.564,Fail,16.23474996,mIVSCC-MET,0.8546341390000001,True
6552,0.485,Fail,3.592621466,mIVSCC-MET,0.550798606,True
6564,0.59,Fail,3.14431121,mIVSCC-MET,0.570682618,True
6569,0.361,Fail,12.58915589,mIVSCC-MET,0.458994605,True
6592,0.478,Fail,7.808030242999999,mIVSCC-MET,0.6941987620000001,True
6596,0.406,Fail,4.155023777,mIVSCC-MET,0.42446955299999994,True
6622,0.35100000000000003,Fail,13.47241712,mIVSCC-MET,0.441277861,True
6633,0.36700000000000005,Fail,9.447987693,mIVSCC-MET,0.782353407,True
6642,0.322,Fail,7.407696409,mIVSCC-MET,0.557023832,True
6671,0.474,Fail,7.27457104,mIVSCC-MET,0.825804628,True
6674,0.18,Fail,20.9277805,mIVSCC-MET,0.515730216,True
6675,0.42,Fail,6.986770197,mIVSCC-MET,0.553625014,True
6677,0.16899999999999998,Fail,28.36390511,mIVSCC-MET,0.494058479,True
6684,0.485,Fail,5.195640575,mIVSCC-MET,0.44567553200000004,True
6686,0.645,Fail,4.943744945,mIVSCC-MET,0.655714389,True
6687,0.107,Fail,32.15093832,mIVSCC-MET,0.494644635,True
6688,0.379,Fail,15.99924918,mIVSCC-MET,0.5440907460000001,True
6742,0.439,Fail,166.3344741,mIVSCC-MET,0.8731436490000001,True
6743,0.376,Fail,4.649482245,mIVSCC-METx,0.679724535,True
6744,0.415,Fail,6.7079845129999995,mIVSCC-MET,1.012518876,True
6746,0.47200000000000003,Fail,20.90174452,mIVSCC-MET,0.714771422,True
6829,0.332,Fail,21.65958565,mIVSCC-MET,0.7058651990000001,True
6905,0.39399999999999996,Fail,11.65597807,mIVSCC-MET,0.755243963,True
6912,0.32,Fail,20.22866359,mIVSCC-MET,0.7892843890000001,True
6918,0.483,Fail,4.956667165,mIVSCC-MET,0.784954878,True
6935,0.466,Fail,3.849200998,mIVSCC-MET,0.716985944,True
6946,0.414,Fail,3.76463591,mIVSCC-MET,0.720119518,True
6947,0.451,Fail,0.599744256,mIVSCC-MET,0.45534953,True
6949,0.511,Fail,3.565488438,mIVSCC-MET,0.7102187609999999,True
6961,0.377,Fail,14.65587677,mIVSCC-MET,0.68057325,True
6985,0.45299999999999996,Fail,4.773405707,mIVSCC-MET,0.7397036929999999,True
6990,0.402,Fail,4.21222212,mIVSCC-MET,0.536326385,True
6995,0.561,Fail,6.901137889,mIVSCC-MET,1.037179563,True
6998,0.451,Fail,4.196653031,mIVSCC-MET,0.645432935,True
7014,0.33399999999999996,Fail,10.38994493,mIVSCC-MET,0.67977409,True
7020,0.521,Fail,4.985367873,mIVSCC-MET,0.8056879090000001,True
7040,0.473,Fail,4.203444457,mIVSCC-MET,0.632008995,True
7063,0.503,Fail,3.76742307,mIVSCC-METx,0.766426407,True
7070,0.42200000000000004,Fail,7.702317452999999,mIVSCC-MET,0.73185539,True
7073,0.535,Fail,4.7264846910000005,mIVSCC-MET,0.7441367640000001,True
7074,0.345,Fail,5.65938588,mIVSCC-MET,0.552286417,True
7088,0.341,Fail,7.244028196,mIVSCC-MET,0.529848949,True
7090,0.485,Fail,3.599562601,mIVSCC-MET,0.481551575,True
7091,0.431,Fail,4.6470950339999995,mIVSCC-MET,0.466818182,True
7097,0.38,Fail,7.052073056,mIVSCC-MET,0.8225870759999999,True
7102,0.542,Fail,5.630790069,mIVSCC-MET,0.558036978,True
7119,0.31,Fail,17.77279311,mIVSCC-MET,0.619792922,True
7123,0.425,Fail,12.236024699999998,mIVSCC-MET,0.851605035,True
7127,0.48100000000000004,Fail,6.848945887999999,mIVSCC-MET,0.601060251,True
7136,0.573,Fail,4.022382697,mIVSCC-MET,0.562338106,True
7143,0.14,Fail,83.84161207,mIVSCC-MET,0.855416297,True
7144,0.455,Fail,4.517967635,mIVSCC-MET,0.64413936,True
7147,0.662,Fail,3.2559698580000003,mIVSCC-MET,0.7539818309999999,True
7190,0.366,Fail,5.137712148,mIVSCC-MET,0.618742083,True
7195,0.514,Fail,3.355312537,mIVSCC-MET,0.515600917,True
7199,0.10400000000000001,Fail,67.40415934,mIVSCC-MET,1.033538835,True
7219,0.42,Fail,16.503614000000002,mIVSCC-MET,0.743957933,True
7270,0.235,Fail,27.22981317,mIVSCC-MET,0.842789617,True
7272,0.489,Fail,4.649291283999999,mIVSCC-MET,0.408170641,True
7296,0.419,Fail,9.951620948,mIVSCC-MET,0.599705348,True
7309,0.556,Fail,4.952716929,mIVSCC-MET,0.522030564,True
7326,0.314,Fail,7.478557286,mIVSCC-MET,0.94310295,True
7342,0.45899999999999996,Fail,2.534094224,mIVSCC-MET,0.507652244,True
7347,0.405,Fail,3.270432534,mIVSCC-MET,0.651459916,True
7354,0.542,Fail,6.668588601000001,mIVSCC-MET,0.962254429,True
7388,0.7659999999999999,Fail,4.040499457,mIVSCC-MET,0.851220546,True
