date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171005,PAS4_171005_453_A01,Production,nucleus_present,0.598,17.53277243,7777,Core,0.8872244523927121,523.0,8.716666666666667,5-10
171005,P9S4_171005_404_A01,Production,nucleus_present,0.72,13.71008337,6225,Core,0.820507314575288,363.0,6.05,5-10
171005,P8S4_171005_353_A01,Production,nucleus_present,0.5529999999999999,27.03850501,7526,I2,0.7415186462646441,584.0,9.733333333333333,5-10
171005,PBS4_171005_505_A01,Production,nucleus_absent,0.34700000000000003,19.49331163,6733,PoorQ,0.694015812711475,452.0,7.533333333333333,5-10
171005,P2S4_171005_054_A01,Production,nucleus_present,0.41100000000000003,20.07940889,6660,I1,0.8048324281318121,612.0,10.2,10-15
171006,P8S4_171006_355_A01,Production,nucleus_present,0.41100000000000003,10.71223904,2654,PoorQ,0.26480454529465103,657.0,10.95,10-15
171006,PBS4_171006_503_A01,Production,nucleus_absent,0.32799999999999996,12.90704965,4597,I1,0.6806161984193211,708.0,11.8,10-15
171006,P8S4_171006_351_A01,Production,nucleus_absent,0.281,10.028481900000001,2321,PoorQ,0.22675232914279897,381.0,6.35,5-10
171006,P8S4_171006_353_A01,Production,nucleus_absent,0.295,22.3298488,3080,PoorQ,0.391831784003954,677.0,11.283333333333333,10-15
171006,PAS4_171006_453_A01,Production,nucleus_absent,0.34299999999999997,7.1400800339999995,3069,PoorQ,0.40456225862703205,569.0,9.483333333333333,5-10
171006,P8S4_171006_354_A01,Production,nucleus_absent,0.22,13.61927402,3494,PoorQ,0.16604212732524098,791.0,13.183333333333334,10-15
171006,P8S4_171006_357_A01,Production,nucleus_absent,0.622,13.55263162,6332,PoorQ,0.41760206827663304,643.0,10.716666666666667,10-15
171006,PBS4_171006_507_A01,Production,nucleus_present,0.51,33.34907485,8347,I1,0.764830793891285,592.0,9.866666666666667,5-10
171006,P8S4_171006_352_A01,Production,nucleus_absent,0.446,5.255954872,3665,PoorQ,0.377351121156974,684.0,11.4,10-15
171006,PAS4_171006_451_A01,Production,nucleus_absent,0.29600000000000004,6.082657632999999,2842,PoorQ,0.198148837394388,321.0,5.35,5-10
171006,PBS4_171006_508_A01,Production,nucleus_absent,0.34600000000000003,15.69929538,4930,PoorQ,0.574920242451699,870.0,14.5,10-15
171006,P9S4_171006_401_A01,Production,nucleus_absent,0.11599999999999999,25.50215454,1903,PoorQ,0.11299010354913401,292.0,4.866666666666666,0-5
171006,PBS4_171006_505_A01,Production,nucleus_absent,0.319,17.78484323,4452,PoorQ,0.38638973500057705,562.0,9.366666666666667,5-10
171006,PBS4_171006_501_A01,Production,nucleus_present,0.532,27.37267715,7113,PoorQ,0.940953376313745,741.0,12.35,10-15
171006,PBS4_171006_502_A01,Production,nucleus_present,0.434,33.57422661,7809,Core,0.7995029790260891,486.0,8.1,5-10
171006,P8S4_171006_358_A01,Production,nucleus_present,0.48100000000000004,27.39611274,8155,Core,0.7514905736536971,458.0,7.633333333333334,5-10
171006,P8S4_171006_356_A01,Production,nucleus_present,0.535,10.42303215,2818,PoorQ,0.266672609672211,471.0,7.85,5-10
171006,PBS4_171006_504_A01,Production,nucleus_absent,0.47200000000000003,24.78516268,7111,PoorQ,0.501641206799957,517.0,8.616666666666667,5-10
