,name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
20,H19.03.305.11.10.01.11,832737448.0,190305,832737448.0,832725918.0,832731040.0,832731051.0,-67.94087829589844,161.71886026859283,0.21284200251102448,-87.6312484741211,29.58278624636345,3.442273241415254,3.2407736198392314,3.5720671151677013,51.422916412353516,5.1566,48.349998474121094,0.5036900000000001,50.693748474121094,0.65656,-50.89999771118164,5.20978,-67.59062194824219,0.6260100000000001,-53.02499771118164,0.7287600000000001,-46.95624923706055,5.159260000000001,-50.15312576293945,0.5060800000000001,-47.29999923706055,0.6592200000000001,-50.90000025431315,5.20978,,,,,-33.86041259765625,-39.421875,-34.14374923706055,116.41666412353516,860.0,100.0,5.1559800000000005,0.5031300000000001,0.6559400000000001,0.21940733754843716,0.05985999999999991,249.92000000000002,0.10603448275862072,,,,2019-03-06 04:45:45.425960,2019-03-06 04:45:45.425960
21,H18.03.004.11.13.06,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,H17.06.007.11.04.01,997409019.0,170323,997409019.0,576110753.0,997378015.0,997378130.0,-74.85705833435058,75.13020932674408,0.24132002890110016,-83.34375,15.389755873445342,2.5081588605278564,2.653554954888981,2.7912055428667806,37.09375,10.65496,36.671875,0.5036800000000001,36.656253814697266,0.6527400000000001,-53.812503814697266,10.696480000000001,-77.109375,0.60379,-56.843753814697266,0.7402200000000001,-47.906253814697266,10.657160000000001,-49.34375,0.5052500000000001,-46.000003814697266,0.6547000000000001,-53.812503814697266,10.696480000000001,,,,,-35.531253814697266,-45.828128814697266,-34.375,254.375,1790.0,210.0,10.65434,0.5031100000000001,0.6521400000000002,,0.07913999999999999,,-1.7037875499993249e-18,,,,2020-01-02 21:41:17.084610,2020-01-02 21:41:17.084610
23,H17.03.007.12.07.04,997408768.0,170531,997408768.0,592536009.0,997378947.0,997378988.0,-53.8065019087358,301.0416626930237,0.07151558250188828,-88.4375,77.76844715940612,4.881921899261592,4.821055956038602,5.202273004035149,48.6875,2.8393,46.96875,0.50376,47.6875,0.6834600000000002,-48.15625,2.8538,-54.6875,0.6344000000000001,-49.78125,0.7487600000000001,-45.96875,2.8444800000000003,-47.96875,0.5069000000000001,-47.96875,0.6882600000000001,-48.15625,2.8538,,,,,-29.40625,-36.5,-31.65625,58.5,470.0,30.0,2.83862,0.5032000000000001,0.6828400000000001,0.45438562838023566,0.06532000000000004,284.74000000000007,0.0725669099756691,,,,2020-01-02 21:40:40.433942,2020-01-02 21:40:40.433942
24,H17.03.002.11.11.05,997409034.0,170214,997409034.0,569860121.0,997377449.0,997377449.0,-68.67326726140203,62.50002980232239,0.05589098483324051,-75.90625762939453,15.46318568792051,3.271734602412962,3.245321532198648,3.3321493955699295,51.781253814697266,11.05298,53.70089340209961,0.5035228571428572,49.9375,0.6465400000000001,-48.531253814697266,11.10394,-69.06696319580078,0.6024457142857143,-51.000003814697266,0.71496,-45.0,11.05562,-44.3125,0.5055971428571429,-45.875,0.64906,-48.531253814697266,11.10394,,,,,-27.625001907348633,-30.816967010498047,-29.218751907348633,263.875,2400.0,250.0,11.05238,0.5029828571428572,0.6459400000000002,,0.14594000000000018,,0.003999936001023983,,,,2020-01-02 21:41:19.655249,2020-01-02 21:41:19.655249
25,H17.06.007.11.04.02,997408906.0,170323,997408906.0,576118161.0,997378079.0,997378081.0,-73.03433967359138,63.281118869781494,0.024817826226353645,-81.21875762939453,17.238920282125036,2.8276469698861555,2.9782743287289026,2.7909890553912806,49.375,13.30838,51.078125,0.5036900000000001,38.250003814697266,0.5809600000000001,-52.343753814697266,13.34012,-72.390625,0.6809000000000001,-50.906253814697266,0.5832000000000002,-48.96875,13.310400000000001,-49.28125,0.50553,-50.8125,0.5830200000000001,-52.343753814697266,13.34012,,,,,-35.437503814697266,-43.9375,-37.3125,320.625,2000.0,250.0,13.307820000000001,0.50316,0.5803800000000001,0.12171661822529271,0.051060000000000105,181.71599999999998,0.11750000000000012,,,,2020-01-02 21:41:01.001411,2020-01-02 21:41:01.001411
26,H17.03.007.12.07.03,997408666.0,170531,997408666.0,592532014.0,997378991.0,997378996.0,-57.34866714477539,571.8749761581421,0.04095987603068352,-86.21875,48.11497111151958,4.731882675339107,4.737233885043408,4.875829074890495,42.75,1.2418400000000003,41.875,0.50308,40.15625,0.57782,-53.15625,1.2473200000000002,-53.09375,0.5083600000000001,-51.4375,0.58246,-52.46875,1.2460400000000003,-52.53125,0.5065000000000002,-50.96875,0.5817400000000001,-53.15625,1.2473200000000002,-53.09375,0.5083600000000001,,,-34.78125,-40.40625,-35.40625,18.625,400.0,30.0,1.2411600000000003,0.5025000000000002,0.5771600000000001,0.05911330923452163,0.023680000000000145,76.35166666666666,0.16521739130434773,,,,2020-01-02 21:40:12.808829,2020-01-02 21:40:12.808829
27,H17.03.007.12.07.02,997408882.0,170531,997408882.0,592518575.0,997379078.0,997379205.0,-64.10033939502857,139.84374701976776,0.12852008640766144,-80.71875,28.66700134731122,4.475470215534787,4.5819482391761435,4.755758737387345,53.96875,7.641460000000001,49.1875,0.50346,50.0,0.61978,-50.46875,7.645360000000001,-66.0,0.7063400000000002,-54.46875,0.62286,-50.125,7.64482,-51.59375,0.50576,-54.15625,0.6224800000000001,,,,,,,-29.28125,-40.65625,-37.4375,178.625,800.0,90.0,7.640860000000001,0.5029400000000002,0.6192600000000001,,0.10211999999999999,19.560000000000024,-0.0021567596002104073,,,,2020-01-02 21:40:57.948315,2020-01-02 21:40:57.948315
28,H18.03.003.11.11.03,997409473.0,180220,997409473.0,665713811.0,997388476.0,997388481.0,-80.62108968098958,81.40625059604645,0.05003903806209564,-90.4375,11.937324306553219,2.7659107557400593,2.5798418631333795,3.0088549104299886,43.41666793823242,8.999913333333334,41.26041793823242,0.5037966666666668,45.78125,0.7005600000000001,-52.15625,9.035926666666667,-79.61458587646484,0.9337466666666668,-52.40625,0.74702,-48.95833206176758,9.002279999999999,-53.0,0.5058666666666668,-49.59375,0.7027400000000001,-52.15625,9.035926666666667,,,-52.40625,0.74702,-37.19791793823242,-42.994791666666664,-36.59375,212.5416717529297,1650.0,190.0,8.999233333333331,0.5031666666666667,0.6999600000000001,0.035315691226633354,0.08396000000000003,124.25142857142858,0.1082142857142857,,,,2020-01-02 21:42:43.053670,2020-01-02 21:42:43.053670
29,H17.03.007.11.06.03,997408710.0,170531,997408710.0,592598069.0,997379408.0,997379505.0,-54.10998294971608,118.88020485639572,0.00502752372995019,-68.34375,24.896626141955213,2.4441673350523754,2.4874065543884125,2.4782748475665826,34.0,4.6565,32.43125,0.5028720000000001,32.5,0.5913000000000002,-57.28125,4.65972,-58.29375076293945,0.5062800000000001,-56.4375,0.5944800000000001,-56.96875,4.6592,-57.70624923706055,0.505376,-56.03125,0.59396,,,,,,,-34.5,-37.01875,-34.21875,104.0,450.0,90.0,4.655880000000001,0.502332,0.5906800000000001,,0.061000000000000165,,0.07870036101083025,,,,2020-01-02 21:40:26.310983,2020-01-02 21:40:26.310983
